Periodos,S11,S21,S22,S23,S31-S33,S43,S46,S48-S49-S51,S52-S53,S54-S55-S56,S61-S62,S71-S81,S72,S93
1993/01,71.12437271,83.94551309,39.94770806,71.13430587,63.6799445,45.82353961,55.95583518,48.74925807,47.26843905,57.6973684,68.36786438,74.87062994,91.16208209,84.98584572
1993/02,69.73728644,84.89352972,40.06059016,72.98736611,64.61592384,45.87836496,55.47916407,49.12395974,47.53975353,66.97089511,69.4632951,75.36926479,91.17701109,84.38519874
1993/03,69.72195394,85.60034857,39.89457903,73.08839783,65.44554073,45.51719884,55.36560394,49.24530917,47.58342465,61.02710734,70.32221142,75.67831455,92.28712937,84.45937048
1993/04,69.44948359,86.4479993,40.13215719,72.13906301,66.06152026,45.77004944,54.94246189,48.83415594,48.12264595,62.20623144,70.40676086,75.36210106,92.10825523,84.49420155
1993/05,69.33920552,86.32894403,40.21811686,75.02590119,66.58299256,45.89482712,54.7855804,49.10302816,48.41457639,63.72879859,70.57988948,75.04423511,93.2002237,84.49407471
1993/06,66.67856518,87.03734258,40.0099262,73.85945252,65.06121321,45.64793693,54.7747041,48.84313376,48.57107883,59.84584363,70.7812264,73.8920883,94.11348472,84.46876897
1993/07,80.66833027,86.39991618,40.03373704,74.16461828,65.32710999,46.09846813,54.97553009,49.23644134,48.68797579,74.42828552,67.33718012,74.38357657,94.18487383,84.42535473
1993/08,71.51588434,86.40889706,39.98347494,74.23591783,65.11772796,45.6375834,53.97857699,48.95046031,48.6394897,73.31542691,69.66309408,73.1857764,94.21597911,84.37106957
1993/09,71.61801172,87.67450054,40.3723562,75.19459421,65.13425338,45.37371581,54.31859512,49.41614413,48.7635599,58.478631,71.09551617,73.33454072,95.62023857,84.31329018
1993/10,72.58544978,88.57793067,40.21031958,75.21130485,65.38249846,45.99555835,54.11048327,49.39608999,48.90812934,60.76830906,70.57415403,73.41662142,93.46011784,84.2582388
1993/11,68.71159396,89.48220435,40.24838923,78.02196414,64.82482209,44.98468792,53.07792617,49.40358943,48.94047564,65.12933375,70.89536028,73.42107711,94.29404298,84.2118503
1993/12,73.92224375,89.75220174,40.54249512,80.15960356,65.40751785,45.48537273,53.84469642,49.75024016,49.49729051,69.17587544,71.13895574,74.8374467,94.03726283,83.08644092
1994/01,65.05906779,87.96844529,40.81823953,81.6885993,65.02771701,47.5674223,56.86032879,51.40427827,49.38942583,63.00262292,71.06433901,74.56369994,99.20627558,86.10171276
1994/02,69.82583081,87.44544506,40.7750165,83.79828638,63.53030525,47.05918917,55.57040327,51.04705439,49.70941568,66.51787815,71.09022068,74.66769239,99.05352809,85.50981538
1994/03,72.04096155,87.37578451,41.6001957,86.07217882,65.02097066,47.45900391,55.69460127,51.04637284,49.93971746,66.18853542,70.85363845,75.11373601,99.55170385,85.4923754
1994/04,72.00010443,87.45788116,41.85803518,88.81106069,70.32001923,47.91005749,56.71641432,51.94249869,50.25846608,66.02670923,71.57017042,76.04864877,101.6374398,85.46781279
1994/05,72.40740409,87.59652352,41.71707993,87.78536414,66.89079578,48.72626657,56.92154044,52.24710728,50.54292938,68.30138414,71.77775138,75.89571112,102.4463427,85.44078331
1994/06,76.047094,87.14297407,41.98614636,87.97918067,67.90593222,49.12316722,57.46546074,52.82234262,50.79050654,63.56330492,71.74030953,77.13872288,103.2702063,85.41273537
1994/07,66.06745695,87.41545979,42.45885254,87.18334654,68.1065851,49.45181699,57.31847336,52.6394635,50.92338789,65.86057966,71.72458633,77.11903654,103.8770769,85.38506149
1994/08,71.70391318,87.3923955,42.3635578,87.55444576,68.91267744,49.6717943,57.80516854,53.02216538,51.0935607,63.84548869,69.9435741,78.47772386,104.7007934,85.36188147
1994/09,69.33481539,87.33610258,42.51253113,86.1905751,69.47768152,49.65677433,57.78716363,52.97685902,51.27586238,64.89885163,71.69341644,78.30339101,106.3907801,85.35130098
1994/10,78.76220732,87.85867804,42.81879204,85.7947668,68.76554855,51.28663278,58.82089077,53.30419644,51.39988003,65.95929017,72.78445524,78.22901641,101.0548205,85.36173516
1994/11,70.69656345,87.58861168,42.91250996,82.42266256,69.41703258,52.30534408,60.23173373,53.06271647,51.62386723,71.06174334,72.80968529,80.2526842,102.020041,85.31684576
1994/12,71.49470041,87.4270441,43.22579417,81.52197075,67.93576192,51.66617474,59.18287762,52.54451962,52.76623326,65.32939528,72.53490309,79.81639893,101.4967549,84.35390903
1995/01,73.50590525,87.33969627,42.66575347,69.04148935,71.00110606,47.87484228,58.75574657,52.3634009,52.09125064,80.88639142,73.17826885,70.59560258,92.14957503,84.99467252
1995/02,60.27882515,85.98781374,42.91790117,56.60525389,65.92300274,45.53661056,54.96857726,50.61648239,52.06227499,64.86769543,73.15196011,70.88783614,91.22493327,84.64464525
1995/03,69.11882318,86.45699558,42.52481365,55.81521734,64.40666236,45.47291842,55.12375707,49.24652411,52.25650992,59.30142855,73.58151749,71.43975321,91.33082869,84.6108934
1995/04,76.16637289,86.64151145,43.0134614,56.98574086,62.23270204,42.73510436,50.77589532,47.62176255,52.34519582,60.20383045,72.58658365,70.94261677,86.16947167,84.64655423
1995/05,60.79126368,86.74829122,42.92035091,53.3272824,62.42636411,42.83894862,51.47706088,47.23476197,52.41025278,55.31396095,73.11339858,71.43344023,86.6338957,84.65980248
1995/06,70.71528485,87.63908071,42.98700082,53.89763644,62.29858311,43.48600549,51.74834878,47.35066944,52.51420217,57.81937593,73.67922715,71.92817164,87.51350981,84.68367888
1995/07,70.66611296,88.1098307,42.83809037,54.35764605,63.06304216,44.10869631,52.28498427,47.92720856,52.35545979,58.39569858,76.35161966,71.92377175,87.71948222,84.67394904
1995/08,83.76021945,88.79390682,42.98974694,54.16187123,63.60015531,44.75973135,53.26894345,48.34984892,52.43265309,61.15714472,73.59693385,72.12304066,88.10262813,84.64897687
1995/09,74.8931176,89.95641971,43.35353527,55.70980428,64.39786081,45.34746117,53.76812965,48.35841644,52.53132968,60.92946818,74.66659883,73.12538529,88.77809585,84.61888898
1995/10,72.06469507,65.93121198,43.42221917,57.31530702,64.92615185,45.07192239,52.84927662,48.45557688,52.59927688,59.98381226,74.11459833,73.56640951,89.6850183,84.5839683
1995/11,72.9867477,86.02059653,43.93096007,60.29012371,65.53128954,45.86199879,53.94544473,48.54403425,52.77407586,62.0421048,74.08738333,73.49021637,89.8232579,84.38863954
1995/12,83.02443787,91.71024921,44.07510408,66.41903008,67.7335829,47.32351822,55.14225772,49.63681728,52.91275328,62.3071466,73.95267368,73.39776279,90.02549356,83.50251561
1996/01,73.92149694,92.39351614,43.93493186,65.20785191,68.59691713,48.15913765,57.82644094,50.2237354,53.06252691,65.01623953,75.04501239,73.49184829,86.53161658,84.17659042
1996/02,72.72618954,93.72842147,44.50884859,63.42474882,68.72342863,47.88230441,56.2455959,49.81739264,53.11912827,61.14670264,75.51484548,73.09327562,84.03538376,83.8381488
1996/03,73.90819768,93.52906073,44.47704423,63.3153586,69.23628641,48.00481604,56.16452106,50.04534223,53.18185081,62.79887193,75.44292032,72.13469055,86.05395085,83.64118273
1996/04,70.7334022,94.72420394,44.48206963,66.04580575,69.44211693,48.29572101,56.40285555,50.20163786,53.17300368,62.75790105,75.60011287,72.04124779,85.81624389,83.60269823
1996/05,71.44136438,94.65214824,44.82165899,67.53137124,70.00299488,48.83710565,56.98362312,50.63569456,53.08778927,61.5703597,76.20372307,72.17688309,85.6906182,83.5803779
1996/06,74.33191049,95.24652788,45.1903785,69.81621529,71.07056599,48.86531278,56.33636236,50.82677136,53.2853602,64.30924073,75.96732471,71.18136798,87.85246724,83.55461229
1996/07,79.5876749,95.15037025,45.38271121,73.21882802,70.42104823,48.8960177,57.09338329,51.37427185,53.57090748,65.39529063,76.41063869,70.78375199,86.49942906,83.52822862
1996/08,72.9212973,93.33118596,45.74119647,71.67271489,70.53395742,49.38670666,57.20346893,51.77817202,53.58032616,69.04244273,76.95675654,70.70393978,86.33611893,83.50208432
1996/09,73.95126765,95.54015138,45.55899089,71.67581684,70.73187309,50.11813261,57.90243881,52.24495079,53.70270996,66.97926849,77.16229215,70.16150717,86.71774341,83.48505339
1996/10,74.45192932,96.29894086,45.65056705,72.82327751,72.11204627,50.39933273,58.18451635,52.83249241,53.9251242,66.8196095,77.56041884,70.45001095,88.44263912,83.48351865
1996/11,86.40511022,96.81787478,47.25062343,72.5103087,73.4896951,51.22338334,58.85419924,53.76817532,54.00014169,67.62786483,77.93472308,70.17275015,89.64069946,83.18654086
